변수1,변수2,Group
40.61575557150603,84.24312866450204,G2
42.16307780701126,57.119014034509604,G2
50.19550849649826,62.56082137116921,G3
55.666543879596375,50.37323301440549,G1
50.94236899599774,37.03890187688517,G2
57.52394548019259,47.95487594235647,G2
47.79581910619441,23.613991009401417,G1
52.7093446061033,78.29211031188169,G3
64.47215873492652,16.502349946938057,G1
34.02753270705491,100.64285051918438,G3
51.630676994410784,24.717462013998357,G2
51.58645470541641,89.99777351350394,G3
63.81000073569607,41.83891912859124,G2
46.599163166759574,71.2206613494212,G1
59.79572466574641,44.95106599346263,G1
66.54031198194068,93.47496318782765,G1
22.252955942536527,60.874053361685476,G3
67.52946865175801,81.47364024197505,G2
35.21927304311469,61.5209607979277,G1
33.59089386397289,67.05919951077804,G1
6.808146597914362,72.32213308039499,G2
37.95233502481029,49.42552029000591,G1
49.92714583023455,34.394177435294885,G2
44.25015040601146,33.96793348516,G2
43.062097096973716,61.01685138272311,G2
33.31253968505828,50.2271982922384,G2
63.008442484646665,17.082864803001165,G2
64.37620754319947,70.25882501582991,G3
56.27177782933379,35.63020717426829,G1
21.70207931321543,36.79349949461388,G3
84.10017737026223,59.16747931426152,G1
52.20461975685824,41.99768683852173,G3
58.09413802375499,62.45010996679038,G2
27.52556543942104,99.46921783205116,G1
49.82834828795407,52.41884707635358,G1
56.20031131435468,38.80841707566702,G3
47.886521682989745,63.6301395525462,G3
63.08242789030181,44.49536412664625,G1
69.5051772199481,60.47502963995494,G3
29.847143538988508,66.31271953362477,G3
62.75180873185786,59.29606123075031,G3
55.915099271972444,61.131178991783386,G2
49.92956007989661,63.841807612652985,G2
26.43782024708577,91.94225445041621,G3
72.19773162797829,54.9416139178601,G3
55.95161421906693,62.5486881333618,G2
23.251234067517142,77.33698126684286,G2
46.352983093894764,69.42073662836042,G1
54.90835079548799,52.835815990184415,G1
57.59862952508798,78.03726874035775,G2
48.08592808577938,42.575062377701414,G3
55.12386208923075,55.46501145403548,G3
81.78329318344987,44.578269189911204,G3
73.19805133207264,71.52349198942203,G3
35.757214322317125,83.79199562569498,G1
41.04654002655871,64.46672317392711,G2
48.33194000284596,61.505318918583754,G3
23.763958487425796,42.49982665083848,G1
29.878947530807533,45.948977657596714,G3
25.67458068584775,36.13479768723148,G2
32.784200407625,16.46637221455635,G1
70.84404242219887,52.179319975390165,G2
37.171392216802836,54.0378946129407,G2
34.594073615966046,103.4568459074661,G1
63.24256490764085,91.25627132416221,G1
43.26043420856327,71.11280479267069,G1
56.279592037589026,101.68954461083128,G1
39.07731125955,87.8180699237055,G1
22.971680464901596,19.848639572744517,G1
