Date,column_1,column_2,column_3,column_4
2023-01-01,104.96714153011233,191.9755905622833,305.87535765293046,396.7713367956567
2023-01-02,98.61735698828815,204.48184963620832,270.648816671549,403.1454076126436
2023-01-03,106.47688538100692,200.2518480156359,312.24758267143415,320.0719726187157
2023-01-04,115.23029856408026,201.95352197097662,248.92249187286478,436.65310698809924
2023-01-05,97.65846625276664,184.53980432289066,330.8746691197693,413.8595390359197
2023-01-06,97.6586304305082,200.49020348517885,314.1779244723913,439.9204043943861
2023-01-07,115.79212815507391,209.95996582490898,307.68089202941627,284.14978487225244
2023-01-08,107.67434729152909,229.02287215590084,329.4807295183654,483.5349881912291
2023-01-09,95.30525614065049,219.18541652170413,349.9642333338773,394.41641487379303
2023-01-10,105.42560043585965,243.06364915023113,330.4311019505439,444.32731266950066
2023-01-11,95.36582307187538,184.653048742239,244.77377306005064,358.40376291497876
2023-01-12,95.34270246429743,217.44641273441357,261.61269099792895,424.51095620250277
2023-01-13,102.41962271566034,203.66684011476704,281.25544266912965,357.86337747305373
2023-01-14,80.86719755342202,243.79605866435344,300.78273150632504,375.0492415721678
2023-01-15,82.75082167486967,183.83403429289697,315.5297706140737,476.5612541546715
2023-01-16,94.37712470759027,183.20556315638447,278.227685605396,392.37270396946616
2023-01-17,89.87168879665576,188.01214709111954,305.60300293431237,408.6973149271889
2023-01-18,103.14247332595274,157.52208551380386,277.3385120294003,434.80270922755017
2023-01-19,90.91975924478788,189.48489956638477,281.6544659102415,419.8272755189042
2023-01-20,85.87696298664709,184.81734676892603,257.80016709455333,406.01675620574304
2023-01-21,114.65648768921554,203.00787572952416,272.30300261667287,414.598440098649
2023-01-22,97.74223699513465,206.8351195155432,259.44946183151,496.136623409531
2023-01-23,100.67528204687923,237.52341678431773,270.72380241068004,397.6952481186566
2023-01-24,85.75251813786544,219.008476763721,331.6092538982352,408.0439618685987
2023-01-25,94.55617275474818,188.46192688675194,271.5180333350417,442.02617584030446
2023-01-26,101.10922589709867,182.03170657303284,378.97146194512175,444.22103731831936
2023-01-27,88.49006422577698,209.8383834301301,314.79953702642666,447.4812122224152
2023-01-28,103.75698018345672,173.59533585958715,305.5450837108462,425.5492088811674
2023-01-29,93.99361310081196,236.62917531708706,274.2492665945636,354.27980349078064
2023-01-30,97.08306250206724,223.58880241442574,321.0092963822697,465.3372612920438
2023-01-31,93.98293387770603,190.6164869579059,282.7308652128668,354.14618427925245
2023-02-01,118.52278184508938,165.73730941818243,303.6602944393608,412.10541860956135
2023-02-02,99.86502775262066,227.07744748330828,376.80253614806384,369.82896599922566
2023-02-03,89.422890710441,197.70920309494764,297.1182030082605,397.4344661362803
2023-02-04,108.22544912103189,224.75632623946925,334.4781997885703,413.1504964121392
2023-02-05,87.79156350028978,168.11144682411265,278.9047072462234,412.8542886180109
2023-02-06,102.08863595004756,188.01249954092455,298.95034528509115,416.8768301694114
2023-02-07,80.40329876120225,200.10487399436366,353.1240190690653,464.5484507623459
2023-02-08,86.71813951101569,200.93961187529484,281.19098826636696,418.1413720605592
2023-02-09,101.96861235869123,190.99869057041514,354.37345673990785,390.23373458837403
2023-02-10,107.3846657999541,212.45699864694998,321.23255806366427,438.5634867315343
2023-02-11,101.7136828118997,178.6475914123481,283.12599672317197,447.57881955698565
2023-02-12,98.8435171761176,197.15241029957414,318.9722321716656,350.8956873945203
2023-02-13,96.98896304410711,202.40591263423798,329.1766334888019,423.89600279399434
2023-02-14,85.21478009632573,210.288776681175,318.6542988665159,428.0469096924359
2023-02-15,92.80155791605291,214.23229756177778,252.8932584032863,388.09745986560034
2023-02-16,95.39361229040213,177.50715816324262,278.18588472525397,455.02827253246477
2023-02-17,110.57122226218915,169.31771658528754,292.57444093345487,393.9977765186989
2023-02-18,103.43618289568461,225.5535364379702,297.7669971269986,405.0230581388617
2023-02-19,82.36959844637266,206.64628023959185,318.6201629265203,393.07712702864524
2023-02-20,103.24083969394795,185.03026926886892,305.3310300279976,400.6231619032587
2023-02-21,96.14917719583684,231.02303951045045,259.939669238697,356.14899652419194
2023-02-22,93.23077999694041,202.31349268585717,311.4059355301789,342.3979646962282
2023-02-23,106.11676288840867,223.58594368127652,318.31757235851467,463.78020252899887
2023-02-24,110.30999522495951,201.35036962820217,316.7937134379312,366.1215460672669
2023-02-25,109.31280119116198,241.21495849763974,332.4234217666386,360.34430602174774
2023-02-26,91.60782476777362,235.1068168488641,325.01766463646715,313.8643954558514
2023-02-27,96.90787624148786,195.02071703041852,313.7754023768531,374.4415300924199
2023-02-28,103.31263431403563,219.43141901908712,297.8950286562406,347.07640826370005
2023-03-01,109.75545127122359,212.90751899170294,250.17117199452028,465.68060640545474
2023-03-02,95.2082576215471,227.37263115064698,312.8885465739776,440.39268357370537
