CustomerID,PurchaseHistory,TotalSpent
00012a2ce6f8dcda20d059ce98491703,1,114.74
000161a058600d5901f007fab4c27140,1,67.41
0001fd6190edaaf884bcaf3d49edf079,1,195.42
0002414f95344307404f0ace7a26f1d5,1,179.35
000379cdec625522490c315e70c7a9fb,1,107.01
0004164d20a9e969af783496f3408652,1,71.8
000419c5494106c306a97b5635748086,1,49.4
00046a560d407e99b969756e0b10f282,1,166.59
00050bf6e01e69d5c0fd612f1bcfb69c,1,85.23
000598caf2ef4117407665ac33275130,1,1255.71
0005aefbb696d34b3424dccd0a0e9fd0,1,147.33
00062b33cb9f6fe976afdcff967ea74d,1,58.95
00066ccbe787a588c52bd5ff404590e3,1,270.0
00072d033fe2e59061ae5c3aff1a2be5,1,106.97
0009a69b72033b2d0ec8c69fc70ef768,1,173.6
000bf8121c3412d3057d32371c5d3395,1,45.56
000e943451fc2788ca6ac98a682f2f49,1,106.23
000f17e290c26b28549908a04cfe36c1,1,139.52
000fd45d6fedae68fc6676036610f879,1,66.81
0010068a73b7c56da5758c3f9e5c7375,1,54.83
001028b78fd413e19704b3867c369d3a,1,37.61
00104a47c29da701ce41ee52077587d9,1,100.34
001051abfcfdbed9f87b4266213a5df1,1,65.2
00114026c1b7b52ab1773f317ef4880b,1,66.01
001226b2341ef620415ce7bbafcfac28,1,47.53
0012a5c13793cf51e253f096a7e740dd,1,369.92
0013280441d86a4f7a8006efdaf1b0fe,1,162.15
0013cd8e350a7cc76873441e431dd5ee,1,92.6
001450ebb4a77efb3d68be5f7887cb1e,1,61.33
00146ad30454993879adaa91c518f68c,1,221.79
00155f0530cc7b2bf73cc3f81cb01c52,1,40.75
001574cd5824c0b1ea90dd4f4ba6d5b8,1,184.94
0015bc9fd2d5395446143e8b215d7c75,1,132.19
0015f7887e2fde13ddaa7b8e385af919,1,186.74
0017a0b4c1f1bdb9c395fa0ac517109c,1,50.01
0018c09f333634ca9c80d9ff46e43e9c,1,56.87
0018f7fde63ca77254dbc47f4ea358b2,1,51.27
0019c9aaad15b043c48f0a1180f22ce8,1,112.83
001a57041f56400917a187dd74e6cbc1,1,53.72
001b4e9b73aa98a6276b241bfd496822,1,82.87
001c7f05398c45b42eee0d5a77783bca,1,21.94
001df1ee5c36767aa607001ab1a13a06,1,42.86
001f150aebb5d897f2059b0460c38449,1,125.97
001f35d9f262c558fd065346fbf5801d,1,46.53
001f6f1a5e902ad14e1f709a7215de11,1,34.86
00205ad9ba1ef4340cef86583294cf82,1,928.7
002236c4f333bc8df6a5939749eb7869,1,69.84
002348c1099e3229276c8ad7d4ddc702,1,249.56
002408f390f729598bbac1ef9421c6ae,1,258.01
002450e9ea44cb90b8a07ba0b197e149,1,40.0
002554bdf9eb99618d8189c3a89fdd52,1,244.08
0026955706fd4e2fa997f3f4c18d485a,1,121.9
0026d252429f669d454d726e5e956aa1,1,139.15
002834b4d901534f48d9e9a72047b288,1,214.14
0028ff36263a86bf679df7c863a0a0ba,1,74.94
002905287304e28c0218389269b4759b,1,31.7
002937abdae13680e17dccd3868b4825,1,43.55
0029cdf064769cabdf3186b54d068c99,1,483.7
002a10e899b62a460b0116e0b68697ad,1,92.81
002b24cb2cd0c3e575040dbd278885e3,1,40.22
002b5342c72978cf0aba6aae1f5d5293,1,51.17
002c625393dfa194828b462a6ef8cb0b,1,371.87
002ce108ccf0356ef5c8b1dce3c0ae29,1,185.6
002d358e2462f87678443706cbf2eb21,1,45.61
002d597546b2cf44428232c9f237f873,1,117.74
002ebb669a34b9e79c88efc755e95322,1,133.57
002ef7e55600d44ead53f7c1644e5222,1,199.02
002f067b028a3643ad3a0969c7a0f3dc,1,107.84
002f90a6eb386bc43bc9ba200db31a89,1,153.51
002fb8fc5ce64f8422fa2fe79986c783,1,67.68
002ff70a5285669011090c077ef929af,1,81.14
00302a0b99783c3d1d1e81c616e321e8,1,159.48
